Code commune;Libellé commune;Libellé région;Libellé typologie;Population municipale 2016
01001;L'Abergement-Clémenciat;Auvergne-Rhône-Alpes;Communes peu denses;767
01002;L'Abergement-de-Varey;Auvergne-Rhône-Alpes;Communes très peu denses;243
01004;Ambérieu-en-Bugey;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;14 081
01005;Ambérieux-en-Dombes;Auvergne-Rhône-Alpes;Communes peu denses;1 671
01006;Ambléon;Auvergne-Rhône-Alpes;Communes très peu denses;110
01007;Ambronay;Auvergne-Rhône-Alpes;Communes peu denses;2 684
01008;Ambutrix;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;750
01009;Andert-et-Condon;Auvergne-Rhône-Alpes;Communes peu denses;336
01010;Anglefort;Auvergne-Rhône-Alpes;Communes peu denses;1 124
01011;Apremont;Auvergne-Rhône-Alpes;Communes peu denses;383
01012;Aranc;Auvergne-Rhône-Alpes;Communes très peu denses;326
01013;Arandas;Auvergne-Rhône-Alpes;Communes très peu denses;148
01014;Arbent;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;3 379
01015;Arboys en Bugey;Auvergne-Rhône-Alpes;Communes très peu denses;640
01016;Arbigny;Auvergne-Rhône-Alpes;Communes peu denses;462
01017;Argis;Auvergne-Rhône-Alpes;Communes peu denses;438
01019;Armix;Auvergne-Rhône-Alpes;Communes très peu denses;26
01021;Ars-sur-Formans;Auvergne-Rhône-Alpes;Communes peu denses;1 389
01022;Artemare;Auvergne-Rhône-Alpes;Communes peu denses;1 227
01023;Asnières-sur-Saône;Auvergne-Rhône-Alpes;Communes très peu denses;63
01024;Attignat;Auvergne-Rhône-Alpes;Communes peu denses;3 270
01025;Bâgé-Dommartin;Auvergne-Rhône-Alpes;Communes peu denses;4 088
01026;Bâgé-le-Châtel;Auvergne-Rhône-Alpes;Communes peu denses;915
01027;Balan;Auvergne-Rhône-Alpes;Communes peu denses;2 856
01028;Baneins;Auvergne-Rhône-Alpes;Communes peu denses;596
01029;Beaupont;Auvergne-Rhône-Alpes;Communes peu denses;685
